Date,Open,High,Low,Close,Volume,Adj Close
2017-06-14 12:49:08,985.15,985.15,985.15,985.15,660463,985.15
2017-06-14 12:50:20,985.23,985.23,985.23,985.23,660463,985.23
2017-06-14 12:51:15,985.42,985.42,985.42,985.42,660463,985.42
2017-06-14 12:52:21,984.66,984.66,984.66,984.66,660463,984.66
2017-06-14 12:52:54,984.53,984.53,984.53,984.53,660463,984.53
2017-06-14 12:54:16,984.48,984.48,984.48,984.48,660463,984.48
2017-06-14 12:55:22,985.08,985.08,985.08,985.08,660463,985.08
2017-06-14 12:56:23,984.19,984.19,984.19,984.19,660463,984.19
2017-06-14 12:57:17,984.34,984.34,984.34,984.34,660463,984.34
2017-06-14 12:58:23,984.34,984.34,984.34,984.34,660463,984.34
2017-06-14 12:59:10,984.23,984.23,984.23,984.23,660463,984.23
2017-06-14 13:00:03,984.06,984.06,984.06,984.06,660463,984.06
2017-06-14 13:01:11,984.25,984.25,984.25,984.25,660463,984.25
2017-06-14 13:02:24,984.5,984.5,984.5,984.5,660463,984.5
2017-06-14 13:03:25,984.91,984.91,984.91,984.91,660463,984.91
2017-06-14 13:04:20,985.41,985.41,985.41,985.41,660463,985.41
2017-06-14 13:05:32,985.23,985.23,985.23,985.23,660463,985.23
2017-06-14 13:06:31,985.17,985.17,985.17,985.17,660463,985.17
2017-06-14 13:07:21,985.39,985.39,985.39,985.39,660463,985.39
2017-06-14 13:08:31,985.56,985.56,985.56,985.56,660463,985.56
2017-06-14 13:09:18,985.25,985.25,985.25,985.25,660463,985.25
2017-06-14 13:10:16,985.5,985.5,985.5,985.5,660463,985.5
2017-06-14 13:18:54,985.11,985.11,985.11,985.11,660463,985.11
2017-06-14 13:19:52,985.04,985.04,985.04,985.04,660463,985.04
2017-06-14 13:21:56,984.75,984.75,984.75,984.75,660463,984.75
2017-06-14 13:22:48,984.98,984.98,984.98,984.98,660463,984.98
2017-06-14 13:23:53,984.83,984.83,984.83,984.83,660463,984.83
2017-06-14 13:24:59,985.42,985.42,985.42,985.42,660463,985.42
2017-06-14 13:25:59,985.04,985.04,985.04,985.04,660463,985.04
2017-06-14 13:27:48,984.9,984.9,984.9,984.9,660463,984.9
2017-06-14 13:28:51,984.78,984.78,984.78,984.78,660463,984.78
2017-06-14 13:30:03,984.84,984.84,984.84,984.84,660463,984.84
2017-06-14 13:30:59,984.91,984.91,984.91,984.91,660463,984.91
2017-06-14 13:31:52,984.61,984.61,984.61,984.61,660463,984.61
2017-06-14 13:32:51,984.34,984.34,984.34,984.34,660463,984.34
2017-06-14 13:34:07,984.37,984.37,984.37,984.37,660463,984.37
2017-06-14 13:35:08,984.0,984.0,984.0,984.0,660463,984.0
2017-06-14 13:35:54,983.46,983.46,983.46,983.46,660463,983.46
2017-06-14 13:36:57,983.97,983.97,983.97,983.97,660463,983.97
2017-06-14 13:38:04,984.24,984.24,984.24,984.24,660463,984.24
2017-06-14 13:39:09,984.38,984.38,984.38,984.38,660463,984.38
